"","site_id","long","lat","com_id","species","abund"
"1",2601,31.5243661,-24.55313377,"SK08","sp_1",0
"2",2601,31.5243661,-24.55313377,"SK08","sp_2",10
"3",2601,31.5243661,-24.55313377,"SK08","sp_3",6
"4",2601,31.5243661,-24.55313377,"SK08","sp_4",3
"5",2601,31.5243661,-24.55313377,"SK08","sp_5",9
"6",2601,31.5243661,-24.55313377,"SK08","sp_6",4
"7",2601,31.5243661,-24.55313377,"SK08","sp_7",7
"8",2601,31.5243661,-24.55313377,"SK08","sp_8",7
"9",2601,31.5243661,-24.55313377,"SK08","sp_9",4
"10",2601,31.5243661,-24.55313377,"SK08","sp_10",7
"11",2601,31.5243661,-24.55313377,"SK08","sp_11",0
"12",2601,31.5243661,-24.55313377,"SK08","sp_12",6
"13",2601,31.5243661,-24.55313377,"SK08","sp_13",9
"14",2601,31.5243661,-24.55313377,"SK08","sp_14",8
"15",2601,31.5243661,-24.55313377,"SK08","sp_15",1
"16",2601,31.5243661,-24.55313377,"SK08","sp_16",4
"17",2601,31.5243661,-24.55313377,"SK08","sp_17",2
"18",2601,31.5243661,-24.55313377,"SK08","sp_18",4
"19",2601,31.5243661,-24.55313377,"SK08","sp_19",5
"20",2601,31.5243661,-24.55313377,"SK08","sp_20",9
"21",2602,31.53193647,-24.55313377,"SK08","sp_1",4
"22",2602,31.53193647,-24.55313377,"SK08","sp_2",10
"23",2602,31.53193647,-24.55313377,"SK08","sp_3",8
"24",2602,31.53193647,-24.55313377,"SK08","sp_4",3
"25",2602,31.53193647,-24.55313377,"SK08","sp_5",5
"26",2602,31.53193647,-24.55313377,"SK08","sp_6",9
"27",2602,31.53193647,-24.55313377,"SK08","sp_7",9
"28",2602,31.53193647,-24.55313377,"SK08","sp_8",4
"29",2602,31.53193647,-24.55313377,"SK08","sp_9",1
"30",2602,31.53193647,-24.55313377,"SK08","sp_10",4
"31",2602,31.53193647,-24.55313377,"SK08","sp_11",8
"32",2602,31.53193647,-24.55313377,"SK08","sp_12",9
"33",2602,31.53193647,-24.55313377,"SK08","sp_13",1
"34",2602,31.53193647,-24.55313377,"SK08","sp_14",2
"35",2602,31.53193647,-24.55313377,"SK08","sp_15",5
"36",2602,31.53193647,-24.55313377,"SK08","sp_16",6
"37",2602,31.53193647,-24.55313377,"SK08","sp_17",3
"38",2602,31.53193647,-24.55313377,"SK08","sp_18",4
"39",2602,31.53193647,-24.55313377,"SK08","sp_19",10
"40",2602,31.53193647,-24.55313377,"SK08","sp_20",3
"41",2603,31.53950683,-24.55313377,"SK08","sp_1",0
"42",2603,31.53950683,-24.55313377,"SK08","sp_2",1
"43",2603,31.53950683,-24.55313377,"SK08","sp_3",1
"44",2603,31.53950683,-24.55313377,"SK08","sp_4",1
"45",2603,31.53950683,-24.55313377,"SK08","sp_5",5
"46",2603,31.53950683,-24.55313377,"SK08","sp_6",4
"47",2603,31.53950683,-24.55313377,"SK08","sp_7",8
"48",2603,31.53950683,-24.55313377,"SK08","sp_8",4
"49",2603,31.53950683,-24.55313377,"SK08","sp_9",3
"50",2603,31.53950683,-24.55313377,"SK08","sp_10",6
"51",2603,31.53950683,-24.55313377,"SK08","sp_11",0
"52",2603,31.53950683,-24.55313377,"SK08","sp_12",6
"53",2603,31.53950683,-24.55313377,"SK08","sp_13",5
"54",2603,31.53950683,-24.55313377,"SK08","sp_14",3
"55",2603,31.53950683,-24.55313377,"SK08","sp_15",1
"56",2603,31.53950683,-24.55313377,"SK08","sp_16",2
"57",2603,31.53950683,-24.55313377,"SK08","sp_17",5
"58",2603,31.53950683,-24.55313377,"SK08","sp_18",2
"59",2603,31.53950683,-24.55313377,"SK08","sp_19",0
"60",2603,31.53950683,-24.55313377,"SK08","sp_20",8
"61",2604,31.5470772,-24.55313377,"SK08","sp_1",8
"62",2604,31.5470772,-24.55313377,"SK08","sp_2",9
"63",2604,31.5470772,-24.55313377,"SK08","sp_3",9
"64",2604,31.5470772,-24.55313377,"SK08","sp_4",9
"65",2604,31.5470772,-24.55313377,"SK08","sp_5",7
"66",2604,31.5470772,-24.55313377,"SK08","sp_6",7
"67",2604,31.5470772,-24.55313377,"SK08","sp_7",2
"68",2604,31.5470772,-24.55313377,"SK08","sp_8",3
"69",2604,31.5470772,-24.55313377,"SK08","sp_9",3
"70",2604,31.5470772,-24.55313377,"SK08","sp_10",7
"71",2604,31.5470772,-24.55313377,"SK08","sp_11",4
"72",2604,31.5470772,-24.55313377,"SK08","sp_12",6
"73",2604,31.5470772,-24.55313377,"SK08","sp_13",9
"74",2604,31.5470772,-24.55313377,"SK08","sp_14",2
"75",2604,31.5470772,-24.55313377,"SK08","sp_15",5
"76",2604,31.5470772,-24.55313377,"SK08","sp_16",8
"77",2604,31.5470772,-24.55313377,"SK08","sp_17",9
"78",2604,31.5470772,-24.55313377,"SK08","sp_18",10
"79",2604,31.5470772,-24.55313377,"SK08","sp_19",0
"80",2604,31.5470772,-24.55313377,"SK08","sp_20",7
"81",2605,31.55464756,-24.55313377,"SK08","sp_1",9
"82",2605,31.55464756,-24.55313377,"SK08","sp_2",10
"83",2605,31.55464756,-24.55313377,"SK08","sp_3",4
"84",2605,31.55464756,-24.55313377,"SK08","sp_4",0
"85",2605,31.55464756,-24.55313377,"SK08","sp_5",3
"86",2605,31.55464756,-24.55313377,"SK08","sp_6",5
"87",2605,31.55464756,-24.55313377,"SK08","sp_7",6
"88",2605,31.55464756,-24.55313377,"SK08","sp_8",1
"89",2605,31.55464756,-24.55313377,"SK08","sp_9",9
"90",2605,31.55464756,-24.55313377,"SK08","sp_10",1
"91",2605,31.55464756,-24.55313377,"SK08","sp_11",4
"92",2605,31.55464756,-24.55313377,"SK08","sp_12",2
"93",2605,31.55464756,-24.55313377,"SK08","sp_13",10
"94",2605,31.55464756,-24.55313377,"SK08","sp_14",5
"95",2605,31.55464756,-24.55313377,"SK08","sp_15",1
"96",2605,31.55464756,-24.55313377,"SK08","sp_16",9
"97",2605,31.55464756,-24.55313377,"SK08","sp_17",0
"98",2605,31.55464756,-24.55313377,"SK08","sp_18",2
"99",2605,31.55464756,-24.55313377,"SK08","sp_19",9
"100",2605,31.55464756,-24.55313377,"SK08","sp_20",0
"101",2606,31.56221793,-24.55313377,"SK08","sp_1",3
"102",2606,31.56221793,-24.55313377,"SK08","sp_2",5
"103",2606,31.56221793,-24.55313377,"SK08","sp_3",3
"104",2606,31.56221793,-24.55313377,"SK08","sp_4",9
"105",2606,31.56221793,-24.55313377,"SK08","sp_5",4
"106",2606,31.56221793,-24.55313377,"SK08","sp_6",7
"107",2606,31.56221793,-24.55313377,"SK08","sp_7",9
"108",2606,31.56221793,-24.55313377,"SK08","sp_8",4
"109",2606,31.56221793,-24.55313377,"SK08","sp_9",5
"110",2606,31.56221793,-24.55313377,"SK08","sp_10",3
"111",2606,31.56221793,-24.55313377,"SK08","sp_11",4
"112",2606,31.56221793,-24.55313377,"SK08","sp_12",5
"113",2606,31.56221793,-24.55313377,"SK08","sp_13",5
"114",2606,31.56221793,-24.55313377,"SK08","sp_14",10
"115",2606,31.56221793,-24.55313377,"SK08","sp_15",3
"116",2606,31.56221793,-24.55313377,"SK08","sp_16",5
"117",2606,31.56221793,-24.55313377,"SK08","sp_17",1
"118",2606,31.56221793,-24.55313377,"SK08","sp_18",8
"119",2606,31.56221793,-24.55313377,"SK08","sp_19",1
"120",2606,31.56221793,-24.55313377,"SK08","sp_20",6
"121",2607,31.5697883,-24.55313377,"SK08","sp_1",1
"122",2607,31.5697883,-24.55313377,"SK08","sp_2",3
"123",2607,31.5697883,-24.55313377,"SK08","sp_3",9
"124",2607,31.5697883,-24.55313377,"SK08","sp_4",1
"125",2607,31.5697883,-24.55313377,"SK08","sp_5",4
"126",2607,31.5697883,-24.55313377,"SK08","sp_6",3
"127",2607,31.5697883,-24.55313377,"SK08","sp_7",2
"128",2607,31.5697883,-24.55313377,"SK08","sp_8",3
"129",2607,31.5697883,-24.55313377,"SK08","sp_9",5
"130",2607,31.5697883,-24.55313377,"SK08","sp_10",7
"131",2607,31.5697883,-24.55313377,"SK08","sp_11",6
"132",2607,31.5697883,-24.55313377,"SK08","sp_12",1
"133",2607,31.5697883,-24.55313377,"SK08","sp_13",10
"134",2607,31.5697883,-24.55313377,"SK08","sp_14",6
"135",2607,31.5697883,-24.55313377,"SK08","sp_15",1
"136",2607,31.5697883,-24.55313377,"SK08","sp_16",6
"137",2607,31.5697883,-24.55313377,"SK08","sp_17",2
"138",2607,31.5697883,-24.55313377,"SK08","sp_18",8
"139",2607,31.5697883,-24.55313377,"SK08","sp_19",2
"140",2607,31.5697883,-24.55313377,"SK08","sp_20",7
"141",2608,31.57735866,-24.55313377,"SK08","sp_1",9
"142",2608,31.57735866,-24.55313377,"SK08","sp_2",10
"143",2608,31.57735866,-24.55313377,"SK08","sp_3",2
"144",2608,31.57735866,-24.55313377,"SK08","sp_4",10
"145",2608,31.57735866,-24.55313377,"SK08","sp_5",4
"146",2608,31.57735866,-24.55313377,"SK08","sp_6",5
"147",2608,31.57735866,-24.55313377,"SK08","sp_7",2
"148",2608,31.57735866,-24.55313377,"SK08","sp_8",5
"149",2608,31.57735866,-24.55313377,"SK08","sp_9",10
"150",2608,31.57735866,-24.55313377,"SK08","sp_10",7
"151",2608,31.57735866,-24.55313377,"SK08","sp_11",3
"152",2608,31.57735866,-24.55313377,"SK08","sp_12",10
"153",2608,31.57735866,-24.55313377,"SK08","sp_13",9
"154",2608,31.57735866,-24.55313377,"SK08","sp_14",6
"155",2608,31.57735866,-24.55313377,"SK08","sp_15",2
"156",2608,31.57735866,-24.55313377,"SK08","sp_16",3
"157",2608,31.57735866,-24.55313377,"SK08","sp_17",10
"158",2608,31.57735866,-24.55313377,"SK08","sp_18",9
"159",2608,31.57735866,-24.55313377,"SK08","sp_19",10
"160",2608,31.57735866,-24.55313377,"SK08","sp_20",5
"161",2609,31.58492903,-24.55313377,"SK08","sp_1",0
"162",2609,31.58492903,-24.55313377,"SK08","sp_2",4
"163",2609,31.58492903,-24.55313377,"SK08","sp_3",8
"164",2609,31.58492903,-24.55313377,"SK08","sp_4",3
"165",2609,31.58492903,-24.55313377,"SK08","sp_5",6
"166",2609,31.58492903,-24.55313377,"SK08","sp_6",4
"167",2609,31.58492903,-24.55313377,"SK08","sp_7",5
"168",2609,31.58492903,-24.55313377,"SK08","sp_8",9
"169",2609,31.58492903,-24.55313377,"SK08","sp_9",0
"170",2609,31.58492903,-24.55313377,"SK08","sp_10",4
"171",2609,31.58492903,-24.55313377,"SK08","sp_11",3
"172",2609,31.58492903,-24.55313377,"SK08","sp_12",5
"173",2609,31.58492903,-24.55313377,"SK08","sp_13",6
"174",2609,31.58492903,-24.55313377,"SK08","sp_14",10
"175",2609,31.58492903,-24.55313377,"SK08","sp_15",3
"176",2609,31.58492903,-24.55313377,"SK08","sp_16",0
